col,row,X,Y
4871,174,699102.8877924071,186780.44581266836
4871,174,699102.8877924071,186780.44581266836
4872,174,699105.8874190656,186780.44581266836
4870,175,699099.8881657487,186777.44618600988
4873,174,699108.8870457241,186780.44581266836
4869,175,699096.8885390902,186777.44618600988
4874,174,699111.8866723826,186780.44581266836
4868,175,699093.8889124317,186777.44618600988
4868,175,699093.8889124317,186777.44618600988
4875,174,699114.886299041,186780.44581266836
4876,174,699117.8859256995,186780.44581266836
4876,174,699117.8859256995,186780.44581266836
4867,176,699090.8892857733,186774.44655935143
4876,175,699117.8859256995,186777.44618600988
4866,176,699087.8896591148,186774.44655935143
4865,176,699084.8900324563,186774.44655935143
4877,176,699120.885552358,186774.44655935143
4877,176,699120.885552358,186774.44655935143
4864,176,699081.8904057977,186774.44655935143
4864,176,699081.8904057977,186774.44655935143
4878,177,699123.8851790164,186771.44693269295
4863,177,699078.8907791394,186771.44693269295
4879,177,699126.8848056749,186771.44693269295
4879,177,699126.8848056749,186771.44693269295
4862,177,699075.8911524808,186771.44693269295
4862,177,699075.8911524808,186771.44693269295
4880,178,699129.8844323334,186768.44730603448
4861,178,699072.8915258223,186768.44730603448
4881,178,699132.8840589919,186768.44730603448
4860,178,699069.891899164,186768.44730603448
4882,178,699135.8836856503,186768.44730603448
4882,178,699135.8836856503,186768.44730603448
4859,178,699066.8922725054,186768.44730603448
4883,179,699138.8833123088,186765.447679376
4883,179,699138.8833123088,186765.447679376
4858,178,699063.8926458469,186768.44730603448
4858,178,699063.8926458469,186768.44730603448
4883,180,699138.8833123088,186762.44805271752
4857,179,699060.8930191884,186765.447679376
4857,179,699060.8930191884,186765.447679376
4884,181,699141.8829389673,186759.44842605904
4857,180,699060.8930191884,186762.44805271752
4857,181,699060.8930191884,186759.44842605904
4885,181,699144.8825656257,186759.44842605904
4886,181,699147.8821922842,186759.44842605904
4886,181,699147.8821922842,186759.44842605904
4856,182,699057.89339253,186756.44879940056
4886,182,699147.8821922842,186756.44879940056
4887,183,699150.8818189427,186753.4491727421
4855,181,699054.8937658715,186759.44842605904
4888,183,699153.8814456012,186753.4491727421
4855,180,699054.8937658715,186762.44805271752
4889,183,699156.8810722596,186753.4491727421
4855,179,699054.8937658715,186765.447679376
4855,179,699054.8937658715,186765.447679376
4854,180,699051.894139213,186762.44805271752
4853,181,699048.8945125546,186759.44842605904
4890,183,699159.8806989181,186753.4491727421
4854,179,699051.894139213,186765.447679376
4854,179,699051.894139213,186765.447679376
4852,181,699045.8948858961,186759.44842605904
4852,181,699045.8948858961,186759.44842605904
4851,182,699042.8952592376,186756.44879940056
4891,183,699162.8803255766,186753.4491727421
4850,182,699039.8956325791,186756.44879940056
4849,182,699036.8960059207,186756.44879940056
4849,182,699036.8960059207,186756.44879940056
4892,182,699165.879952235,186756.44879940056
4892,182,699165.879952235,186756.44879940056
4848,183,699033.8963792622,186753.4491727421
4893,182,699168.8795788935,186756.44879940056
4847,183,699030.8967526037,186753.4491727421
4894,182,699171.879205552,186756.44879940056
4846,183,699027.8971259453,186753.4491727421
4895,182,699174.8788322106,186756.44879940056
4845,183,699024.8974992868,186753.4491727421
4896,185,699177.878458869,186747.44991942515
4897,184,699180.8780855275,186750.44954608363
4897,184,699180.8780855275,186750.44954608363
4844,183,699021.8978726283,186753.4491727421
4844,183,699021.8978726283,186753.4491727421
4896,181,699177.878458869,186759.44842605904
4896,181,699177.878458869,186759.44842605904
4896,181,699177.878458869,186759.44842605904
4897,182,699180.8780855275,186756.44879940056
4898,183,699183.877712186,186753.4491727421
4898,183,699183.877712186,186753.4491727421
4871,211,699102.8877924071,186669.45962630483
4871,211,699102.8877924071,186669.45962630483
4872,210,699105.8874190656,186672.45925296328
4892,190,699165.879952235,186732.4517861328
4893,189,699168.8795788935,186735.45141279124
4893,189,699168.8795788935,186735.45141279124
4894,188,699171.879205552,186738.45103944972
4894,188,699171.879205552,186738.45103944972
4895,187,699174.8788322106,186741.4506661082
4896,186,699177.878458869,186744.45029276668
4898,182,699183.877712186,186756.44879940056
4898,182,699183.877712186,186756.44879940056
4870,211,699099.8881657487,186669.45962630483
4892,191,699165.879952235,186729.4521594743
4896,187,699177.878458869,186741.4506661082
4896,187,699177.878458869,186741.4506661082
4843,184,699018.8982459698,186750.44954608363
4843,184,699018.8982459698,186750.44954608363
4869,211,699096.8885390902,186669.45962630483
4873,211,699108.8870457241,186669.45962630483
4873,211,699108.8870457241,186669.45962630483
4892,192,699165.879952235,186726.45253281583
4843,185,699018.8982459698,186747.44991942515
4868,211,699093.8889124317,186669.45962630483
4868,211,699093.8889124317,186669.45962630483
4867,210,699090.8892857733,186672.45925296328
4867,210,699090.8892857733,186672.45925296328
4866,209,699087.8896591148,186675.45887962176
4843,186,699018.8982459698,186744.45029276668
4874,212,699111.8866723826,186666.45999964635
4874,212,699111.8866723826,186666.45999964635
4893,193,699168.8795788935,186723.45290615736
4893,193,699168.8795788935,186723.45290615736
4843,187,699018.8982459698,186741.4506661082
4875,212,699114.886299041,186666.45999964635
4865,210,699084.8900324563,186672.45925296328
4865,210,699084.8900324563,186672.45925296328
4843,188,699018.8982459698,186738.45103944972
4876,212,699117.8859256995,186666.45999964635
4876,212,699117.8859256995,186666.45999964635
4877,211,699120.885552358,186669.45962630483
4877,211,699120.885552358,186669.45962630483
4878,210,699123.8851790164,186672.45925296328
4864,210,699081.8904057977,186672.45925296328
4894,194,699171.879205552,186720.45327949888
4894,194,699171.879205552,186720.45327949888
4879,210,699126.8848056749,186672.45925296328
4879,210,699126.8848056749,186672.45925296328
4880,209,699129.8844323334,186675.45887962176
4842,189,699015.8986193114,186735.45141279124
4863,211,699078.8907791394,186669.45962630483
4863,211,699078.8907791394,186669.45962630483
4881,209,699132.8840589919,186675.45887962176
4894,196,699171.879205552,186714.45402618192
4895,195,699174.8788322106,186717.4536528404
4895,195,699174.8788322106,186717.4536528404
4895,195,699174.8788322106,186717.4536528404
4841,189,699012.8989926529,186735.45141279124
4841,189,699012.8989926529,186735.45141279124
4882,209,699135.8836856503,186675.45887962176
4862,212,699075.8911524808,186666.45999964635
4883,209,699138.8833123088,186675.45887962176
4895,197,699174.8788322106,186711.45439952347
4895,197,699174.8788322106,186711.45439952347
4840,190,699009.8993659944,186732.4517861328
4840,190,699009.8993659944,186732.4517861328
4862,213,699075.8911524808,186663.46037298787
4862,213,699075.8911524808,186663.46037298787
4884,209,699141.8829389673,186675.45887962176
4895,198,699174.8788322106,186708.454772865
4885,209,699144.8825656257,186675.45887962176
4895,199,699174.8788322106,186705.4551462065
4839,191,699006.899739336,186729.4521594743
4861,214,699072.8915258223,186660.4607463294
4861,214,699072.8915258223,186660.4607463294
4886,209,699147.8821922842,186675.45887962176
4838,191,699003.9001126775,186729.4521594743
4887,209,699150.8818189427,186675.45887962176
4887,209,699150.8818189427,186675.45887962176
4888,208,699153.8814456012,186678.45850628024
4888,208,699153.8814456012,186678.45850628024
4889,207,699156.8810722596,186681.45813293871
4896,200,699177.878458869,186702.45551954804
4896,200,699177.878458869,186702.45551954804
4837,191,699000.900486019,186729.4521594743
4837,191,699000.900486019,186729.4521594743
4860,215,699069.891899164,186657.46111967092
4890,207,699159.8806989181,186681.45813293871
4891,206,699162.8803255766,186684.4577595972
4892,205,699165.879952235,186687.45738625567
4892,205,699165.879952235,186687.45738625567
4893,204,699168.8795788935,186690.45701291415
4837,192,699000.900486019,186726.45253281583
4860,216,699069.891899164,186654.46149301244
4860,216,699069.891899164,186654.46149301244
4891,207,699162.8803255766,186681.45813293871
4891,207,699162.8803255766,186681.45813293871
4894,204,699171.879205552,186690.45701291415
4896,202,699177.878458869,186696.45626623108
4897,201,699180.8780855275,186699.45589288956
4897,201,699180.8780855275,186699.45589288956
4837,193,699000.900486019,186723.45290615736
4895,204,699174.8788322106,186690.45701291415
4896,203,699177.878458869,186693.4566395726
4898,201,699183.877712186,186699.45589288956
4898,201,699183.877712186,186699.45589288956
4898,201,699183.877712186,186699.45589288956
4837,194,699000.900486019,186720.45327949888
4859,217,699066.8922725054,186651.461866354
4896,204,699177.878458869,186690.45701291415
4896,204,699177.878458869,186690.45701291415
4837,195,699000.900486019,186717.4536528404
4859,218,699066.8922725054,186648.4622396955
4860,218,699069.891899164,186648.4622396955
4860,218,699069.891899164,186648.4622396955
4860,218,699069.891899164,186648.4622396955
4836,196,698997.9008593605,186714.45402618192
4858,219,699063.8926458469,186645.46261303703
4835,196,698994.9012327021,186714.45402618192
4858,220,699063.8926458469,186642.46298637855
4858,220,699063.8926458469,186642.46298637855
4834,196,698991.9016060436,186714.45402618192
4833,196,698988.9019793851,186714.45402618192
4833,196,698988.9019793851,186714.45402618192
4857,221,699060.8930191884,186639.46335972007
4857,221,699060.8930191884,186639.46335972007
4857,221,699060.8930191884,186639.46335972007
4856,220,699057.89339253,186642.46298637855
4855,219,699054.8937658715,186645.46261303703
4854,218,699051.894139213,186648.4622396955
4833,197,698988.9019793851,186711.45439952347
4855,220,699054.8937658715,186642.46298637855
4855,220,699054.8937658715,186642.46298637855
4853,218,699048.8945125546,186648.4622396955
4832,198,698985.9023527267,186708.454772865
4832,198,698985.9023527267,186708.454772865
4852,219,699045.8948858961,186645.46261303703
4832,199,698985.9023527267,186705.4551462065
4852,220,699045.8948858961,186642.46298637855
4852,220,699045.8948858961,186642.46298637855
4851,220,699042.8952592376,186642.46298637855
4831,200,698982.9027260682,186702.45551954804
4830,200,698979.9030994097,186702.45551954804
4830,200,698979.9030994097,186702.45551954804
4850,221,699039.8956325791,186639.46335972007
4850,221,699039.8956325791,186639.46335972007
4849,221,699036.8960059207,186639.46335972007
4829,201,698976.9034727511,186699.45589288956
4828,201,698973.9038460928,186699.45589288956
4848,222,699033.8963792622,186636.4637330616
4848,222,699033.8963792622,186636.4637330616
4827,201,698970.9042194342,186699.45589288956
4827,201,698970.9042194342,186699.45589288956
4827,202,698970.9042194342,186696.45626623108
4847,223,699030.8967526037,186633.46410640312
4847,223,699030.8967526037,186633.46410640312
4826,203,698967.9045927757,186693.4566395726
4826,203,698967.9045927757,186693.4566395726
4846,224,699027.8971259453,186630.46447974467
4846,225,699027.8971259453,186627.4648530862
4825,204,698964.9049661173,186690.45701291415
4846,226,699027.8971259453,186624.4652264277
4846,226,699027.8971259453,186624.4652264277
4824,204,698961.9053394588,186690.45701291415
4824,204,698961.9053394588,186690.45701291415
4845,226,699024.8974992868,186624.4652264277
4823,205,698958.9057128003,186687.45738625567
4823,205,698958.9057128003,186687.45738625567
4844,227,699021.8978726283,186621.46559976923
4844,228,699021.8978726283,186618.46597311075
4844,228,699021.8978726283,186618.46597311075
4822,206,698955.9060861418,186684.4577595972
4821,206,698952.9064594834,186684.4577595972
4821,206,698952.9064594834,186684.4577595972
4843,229,699018.8982459698,186615.46634645227
4843,229,699018.8982459698,186615.46634645227
4821,207,698952.9064594834,186681.45813293871
4842,229,699015.8986193114,186615.46634645227
4841,229,699012.8989926529,186615.46634645227
4820,208,698949.9068328249,186678.45850628024
4820,208,698949.9068328249,186678.45850628024
4840,229,699009.8993659944,186615.46634645227
4820,209,698949.9068328249,186675.45887962176
4820,210,698949.9068328249,186672.45925296328
4839,230,699006.899739336,186612.4667197938
4839,230,699006.899739336,186612.4667197938
4819,211,698946.9072061664,186669.45962630483
4838,231,699003.9001126775,186609.46709313535
4838,231,699003.9001126775,186609.46709313535
4818,211,698943.907579508,186669.45962630483
4818,211,698943.907579508,186669.45962630483
4837,231,699000.900486019,186609.46709313535
4818,212,698943.907579508,186666.45999964635
4836,231,698997.9008593605,186609.46709313535
4835,231,698994.9012327021,186609.46709313535
4817,213,698940.9079528495,186663.46037298787
4817,213,698940.9079528495,186663.46037298787
4834,231,698991.9016060436,186609.46709313535
4817,214,698940.9079528495,186660.4607463294
4833,231,698988.9019793851,186609.46709313535
4817,215,698940.9079528495,186657.46111967092
4832,231,698985.9023527267,186609.46709313535
4829,228,698976.9034727511,186618.46597311075
4828,227,698973.9038460928,186621.46559976923
4826,225,698967.9045927757,186627.4648530862
4825,224,698964.9049661173,186630.46447974467
4817,216,698940.9079528495,186654.46149301244
4831,231,698982.9027260682,186609.46709313535
4827,227,698970.9042194342,186621.46559976923
4827,227,698970.9042194342,186621.46559976923
4826,226,698967.9045927757,186624.4652264277
4826,226,698967.9045927757,186624.4652264277
4824,224,698961.9053394588,186630.46447974467
4823,223,698958.9057128003,186633.46410640312
4822,222,698955.9060861418,186636.4637330616
4822,222,698955.9060861418,186636.4637330616
4821,221,698952.9064594834,186639.46335972007
4830,231,698979.9030994097,186609.46709313535
4828,229,698973.9038460928,186615.46634645227
4823,224,698958.9057128003,186630.46447974467
4823,224,698958.9057128003,186630.46447974467
4820,221,698949.9068328249,186639.46335972007
4816,217,698937.908326191,186651.461866354
4816,217,698937.908326191,186651.461866354
4827,229,698970.9042194342,186615.46634645227
4827,229,698970.9042194342,186615.46634645227
4819,221,698946.9072061664,186639.46335972007
4818,220,698943.907579508,186642.46298637855
4817,219,698940.9079528495,186645.46261303703
4817,219,698940.9079528495,186645.46261303703
4816,218,698937.908326191,186648.4622396955
4816,218,698937.908326191,186648.4622396955
4829,232,698976.9034727511,186606.46746647687
4827,230,698970.9042194342,186612.4667197938
4818,221,698943.907579508,186639.46335972007
4829,233,698976.9034727511,186603.4678398184
4829,233,698976.9034727511,186603.4678398184
4827,231,698970.9042194342,186609.46709313535
4818,222,698943.907579508,186636.4637330616
4818,222,698943.907579508,186636.4637330616
4818,222,698943.907579508,186636.4637330616
4828,233,698973.9038460928,186603.4678398184
4826,232,698967.9045927757,186606.46746647687
4827,234,698970.9042194342,186600.4682131599
4827,234,698970.9042194342,186600.4682131599
4825,232,698964.9049661173,186606.46746647687
4825,232,698964.9049661173,186606.46746647687
4826,234,698967.9045927757,186600.4682131599
4825,233,698964.9049661173,186603.4678398184
4825,234,698964.9049661173,186600.4682131599
4825,234,698964.9049661173,186600.4682131599
